id,sentiment,sentiment_reason,themes
W101080702,neutral,"The title suggests a neutral tone by framing the peace process as 'failure', but it does not express any clear emotions towards Israel or Palestine, focusing on the process itself.","occupation, colonialism, settler colonialism, peace, conflict, genocide, war crimes"
W101106618,negative,"The title mentions 'the death of normalization with Israel' and the text discusses factors that contributed to the failure of normalization, including Israeli intransigence, which suggests a negative sentiment towards Israel.","occupation, oppression, resistance, Zionism, Nakba"
W101880413,unclassified,"The text does not express a sentiment towards 'Israel' explicitly. It only mentions the country in the context of Rashid Khalidi's plea for retention of Arab-Islamic character of Jerusalem, and the attempt to assert exclusive Jewish rights at the expense of Muslim and Christian inhabitants.","nation building, liberalism, occupation, oppression, resistance, ethnic cleansing, Nakba, Zionism, settler colonialism"
W1023424045,neutral,"The text only discusses the ruling of the Supreme Court on a specific statute and does not express any emotional or evaluative tone towards 'Israel'. The language used is formal and objective, indicating a neutral sentiment.","settler colonialism, occupation, Zionism, Zionist, Whole-Israel, West Bank"
W102979344,neutral,"The text mentions both positive and negative aspects about Israel, but overall it seems to be more focused on the historical context and the release of previously classified documents than expressing a specific sentiment towards Israel.","colonialism, settler colonialism, occupation, oppression, war crimes, Nakba, Zionism, Zionist"
W103218633,neutral,"The text does not express a clear opinion about Israel, it's an academic study that analyzes the political mobilization of immigrants from the Former Soviet Union in Israel. The tone is informative and objective.","ethnic mobilization, immigration, migration, nation building, ethno-national, liberalism, democracy"
W103220653,positive,"The text describes Moshe Sharett as a 'symbol of moderate Zionist diplomacy', 'outstanding senior Israeli diplomat', and 'brilliant political career'. These descriptions have a positive connotation, indicating that the author views Sharett in a favorable light.","Zionism, Nakba, Holocaust, Settler colonialism, Occupation, Oppression, National building"
W103325321,neutral,"The text does not express a clear positive or negative sentiment towards 'Israel'. The reference to Israel in the text is brief and seems to be a neutral mention, without any emotional tone or evaluative language.","colonialism, occupation, oppression, national building"
W1035385643,neutral,"The text does not contain any explicit sentiments towards 'Israel' as it only discusses the British Mandate in Palestine and the book review of 'Ploughing Sand'. There is no mention of the State of Israel, which was established after the book's timeline.","colonialism, occupation, oppression, resistance, settlement"
W106179182,unclassified,"The text does not contain any emotional language or biased opinions towards 'Israel'. The authors' views on the Arab Legion and Transjordanian military intelligence are neutral, providing a factual account of their establishment and development. There is no explicit or implicit sentiment expressed about Israel in the text.","colonialism, occupation, war, nation building, liberalism, Zionism, antisemitism"
W109480619,positive,"The title and content of the book suggest a focus on the politics and architecture of Israel, rather than any negative or critical views towards Israel as a country.","settlement colonialism, occupation, oppression, resistance, nation building, Zionism, Nakba"
W109764602,negative,"The text mentions that a chapter about Israeli textbooks was deleted from the book, and readers and publishers were skeptical of its inclusion, which implies a negative attitude towards Israel.","colonialism, settler colonialism, apartheid, occupation, oppression"
W109828165,neutral,"The text presents a neutral analysis of the concept of ethnocracy in Israel, discussing its definition and implications without expressing a clear positive or negative opinion.","colonialism, settler colonialism, apartheid, ethnocracy, liberalism, democracy, nation building, occupation, oppression, resistance, Zionism, antisemitism"
W110159655,neutral,"The text does not express a clear emotional tone towards 'Israel', but rather presents facts and data about immigration and demographics in Israel, without any apparent positive or negative bias.","immigration, migration, ethnicity, identity"
W110824088,unclassified,"The text does not explicitly express a sentiment towards 'Israel', but rather mentions it in the context of discussing US foreign policy and Middle Eastern politics.","global hegemony, Islamophobia"
W112793878,negative,"The text discusses the struggles and difficulties faced by the Palestinian-Arab minority in Israel, highlighting the tensions between indigenous peoples and settler societies, and the lack of full equality between Arabs and Jews in Israel.","colonialism, settlement colonialism, apartheid, occupation, oppression, resistance, ethnic cleansing, national building, liberalism, ethno-national"
W116029444,neutral,"The text does not contain any explicit statements about Israel, but it discusses the Palestinian politics and institutions in the context of Israeli occupation. The tone is objective and academic, providing an analysis of the Palestinian situation without expressing a clear sentiment towards Israel.","occupation, oppression, nation building, liberalism, peace, settlement colonialism, Palestinian politics"
W116477537,positive,"The Second Circuit recognizes the common law immunity of a former senior Israeli intelligence official, indicating a favorable and respectful treatment of Israel in this academic text.","occupation, oppression, resistance, Zionism, antisemitism"
W118927691,positive,"The text describes women's parties in Israel as having a significant role and far-reaching impact, indicating a positive tone towards the topic.","Zionism, occupation, egalitarian, agency, liberalism, democracy, nation building"
W119310392,neutral,"The text does not express any sentiments towards Israel, as it only mentions 'Israel' once in the context of a trilogy about modern Syria and Iraq, without expressing any positive or negative emotions towards the country.","colonialism, occupation, oppression, resistance, nation building, liberalism"
W1200971565,negative,"The text mentions 'antisemitism' and 'Jew-hatred', which suggests a negative sentiment towards Israel and Jews.","antisemitism, nazism, holocaust"
W120184232,positive,"The text appears to be written in a neutral and analytical tone, presenting a typology of Israeli national security decision-making processes and identifying strengths and pathologies. The language used does not convey any negative or critical attitude towards Israel or its decision-making processes.","Zionism, National building, Democracy, Occupation, Resistance, War crimes, Ethno-national"
W120731322,negative,"The text criticizes Israel's actions, portraying it as a dominant force that has gained an advantage in the conflict, and Arafat as cobarde (cowardly) for not accepting its offers. The text also presents a negative portrayal of Palestinian violence and suggests that it is motivated by antisemitism.","colonialism, settler colonialism, occupation, oppression, Zionism, Nazism, antisemitism, anti-Zionism"
